DISTRITO,AÑO,MES,DÍA,PRECIPITACIÓN,T MAX,T MINIMA
VIQUES,2010,1,1,0,21.4,7.8
VIQUES,2010,1,2,8.8,19.8,7.8
VIQUES,2010,1,3,2.5,20.8,8.8
VIQUES,2010,1,4,8.5,18.9,9.1
VIQUES,2010,1,5,4.8,17.5,9.4
VIQUES,2010,1,6,1,19.2,9.5
VIQUES,2010,1,7,0,21.2,8.2
VIQUES,2010,1,8,0,23.9,11.9
VIQUES,2010,1,9,14.5,21.8,9.7
VIQUES,2010,1,10,13.1,16.7,9
VIQUES,2010,1,11,7.7,20.5,9.8
VIQUES,2010,1,12,0.7,19.4,9.8
VIQUES,2010,1,13,0,19.2,9.6
VIQUES,2010,1,14,0,20.8,9.8
VIQUES,2010,1,15,9.5,20.5,10.6
VIQUES,2010,1,16,25.4,20.7,9.7
VIQUES,2010,1,17,3.2,20.7,7.9
VIQUES,2010,1,18,15.5,20.9,8.2
VIQUES,2010,1,19,0,19.7,8.5
VIQUES,2010,1,20,5.9,20.8,7.1
VIQUES,2010,1,21,5.4,19.9,9.7
VIQUES,2010,1,22,11.6,14.8,9.8
VIQUES,2010,1,23,2.4,19.2,8.3
VIQUES,2010,1,24,1.2,15.9,7.9
VIQUES,2010,1,25,4.7,17.5,9.2
VIQUES,2010,1,26,0,20.9,6.1
VIQUES,2010,1,27,0,22.8,8
VIQUES,2010,1,28,0,20.7,6.8
VIQUES,2010,1,29,0,22.8,4.8
VIQUES,2010,1,30,3.6,18.8,5.4
VIQUES,2010,1,31,0,20.7,6.9
VIQUES,2010,2,1,3.4,23.6,5.4
VIQUES,2010,2,2,0,22.9,9.7
VIQUES,2010,2,3,0,22.1,10.2
VIQUES,2010,2,4,1.8,23.9,9.2
VIQUES,2010,2,5,4.6,17.8,11.4
VIQUES,2010,2,6,2.4,19.9,9.5
VIQUES,2010,2,7,0,18,9.2
VIQUES,2010,2,8,0,23.8,9.7
VIQUES,2010,2,9,0.6,22.8,8.5
VIQUES,2010,2,10,0,21.3,8
VIQUES,2010,2,11,4.7,23.2,5.1
VIQUES,2010,2,12,0,16,9.7
VIQUES,2010,2,13,6.5,20.8,9.2
VIQUES,2010,2,14,2.1,21.9,6.7
VIQUES,2010,2,15,0,20.1,9.6
VIQUES,2010,2,16,0,19.5,9.6
VIQUES,2010,2,17,3.2,19.8,9.1
VIQUES,2010,2,18,0,18.9,9.8
VIQUES,2010,2,19,11.6,21,9.7
VIQUES,2010,2,20,6.3,19.1,6.9
VIQUES,2010,2,21,6.2,18.6,9.7
VIQUES,2010,2,22,3.2,22.4,8.1
VIQUES,2010,2,23,9.5,18.4,9.8
VIQUES,2010,2,24,4.7,16.8,9.5
VIQUES,2010,2,25,2.4,18.8,8.9
VIQUES,2010,2,26,4.2,18.9,9
VIQUES,2010,2,27,5,17.4,10
VIQUES,2010,2,28,7.1,19.9,8.6
VIQUES,2010,3,1,2.6,18.8,8.2
VIQUES,2010,3,2,1.6,20,9.1
VIQUES,2010,3,3,8.5,21.2,10.7
VIQUES,2010,3,4,3.6,19.4,10.4
VIQUES,2010,3,5,3.1,21.4,9.6
VIQUES,2010,3,6,0,20.9,10.7
VIQUES,2010,3,7,2.1,18.8,10.9
VIQUES,2010,3,8,0,22.2,9.2
VIQUES,2010,3,9,0,20.5,9
VIQUES,2010,3,10,0,21.2,6.5
VIQUES,2010,3,11,0,21.8,7.1
VIQUES,2010,3,12,2.6,20.7,6.8
VIQUES,2010,3,13,9.9,21.8,9.7
VIQUES,2010,3,14,0,19.9,9.5
VIQUES,2010,3,15,6.5,21.2,6.5
VIQUES,2010,3,16,4.8,14.8,9.8
VIQUES,2010,3,17,1.4,19.9,9.1
VIQUES,2010,3,18,6.5,21.2,10.2
VIQUES,2010,3,19,1.8,19.2,8.6
VIQUES,2010,3,20,3.1,22,6.8
VIQUES,2010,3,21,1.2,23.9,8.8
VIQUES,2010,3,22,0,18,8.9
VIQUES,2010,3,23,0,20.9,5
VIQUES,2010,3,24,4.6,22,8.7
VIQUES,2010,3,25,0,19.4,9.8
VIQUES,2010,3,26,0,19.1,10.1
VIQUES,2010,3,27,0,21.4,7.5
VIQUES,2010,3,28,0,23.1,6.8
VIQUES,2010,3,29,0,22.7,9.1
VIQUES,2010,3,30,14.8,20.8,10.1
VIQUES,2010,3,31,24.8,18.8,9
VIQUES,2010,4,1,0,19.4,6.8
VIQUES,2010,4,2,0,21.9,7.8
VIQUES,2010,4,3,6.2,20.8,9
VIQUES,2010,4,4,20.5,19.5,8.8
VIQUES,2010,4,5,0,17.9,6.8
VIQUES,2010,4,6,6.8,18.8,8.7
VIQUES,2010,4,7,0,21.9,8.1
VIQUES,2010,4,8,0,20.9,6.8
VIQUES,2010,4,9,0,21.8,6.4
VIQUES,2010,4,10,0,20.8,5.5
VIQUES,2010,4,11,0,20.2,7.9
VIQUES,2010,4,12,0,20.9,1.8
VIQUES,2010,4,13,0,22.3,2.5
VIQUES,2010,4,14,0,21.7,9
VIQUES,2010,4,15,0,20.8,7
VIQUES,2010,4,16,0,20.9,8
VIQUES,2010,4,17,0,19.4,8.8
VIQUES,2010,4,18,0,20.1,6.1
VIQUES,2010,4,19,0,18,7.3
VIQUES,2010,4,20,0,21.9,2.7
VIQUES,2010,4,21,0,22.4,1.8
VIQUES,2010,4,22,0,22,4
VIQUES,2010,4,23,0,22.5,3.8
VIQUES,2010,4,24,0,22.8,7.4
VIQUES,2010,4,25,0,23.8,3.8
VIQUES,2010,4,26,0,23.2,4.2
VIQUES,2010,4,27,3.8,18,5.7
VIQUES,2010,4,28,0,21.8,4.5
VIQUES,2010,4,29,0,18.7,4.9
VIQUES,2010,4,30,0.7,19.9,8.7
VIQUES,2010,5,1,0,20.4,9.7
VIQUES,2010,5,2,0,23.4,6.8
VIQUES,2010,5,3,0,22.9,2
VIQUES,2010,5,4,0,22.6,1
VIQUES,2010,5,5,0,23,5.8
VIQUES,2010,5,6,0,23.8,4.1
VIQUES,2010,5,7,0,21.9,2.2
VIQUES,2010,5,8,0,21,6.1
VIQUES,2010,5,9,0,20.4,1.9
VIQUES,2010,5,10,0,24,2.4
VIQUES,2010,5,11,0,24,2
VIQUES,2010,5,12,0,23.4,1.7
VIQUES,2010,5,13,0,23.6,1.8
VIQUES,2010,5,14,0,21.4,-0.3
VIQUES,2010,5,15,0,21.8,2.2
VIQUES,2010,5,16,0,21.9,7.1
VIQUES,2010,5,17,0,23.2,6
VIQUES,2010,5,18,0,22.9,6.8
VIQUES,2010,5,19,0,23.9,7.8
VIQUES,2010,5,20,0,23,6.8
VIQUES,2010,5,21,0,21.5,10.3
VIQUES,2010,5,22,0,21.8,3.2
VIQUES,2010,5,23,0,22.9,0.1
VIQUES,2010,5,24,0,23.7,-0.4
VIQUES,2010,5,25,0,21.2,5
VIQUES,2010,5,26,0,19.8,5.8
VIQUES,2010,5,27,0,19,7.8
VIQUES,2010,5,28,0,20.1,9.8
VIQUES,2010,5,29,0,23.7,3.9
VIQUES,2010,5,30,0,23.1,3.2
VIQUES,2010,5,31,0,22.8,4.7
VIQUES,2010,6,1,0,21.8,6.4
VIQUES,2010,6,2,0,21.3,2.8
VIQUES,2010,6,3,13.5,21,5.6
VIQUES,2010,6,4,0,18.8,2.5
VIQUES,2010,6,5,0,18.7,3
VIQUES,2010,6,6,0,16.9,6.9
VIQUES,2010,6,7,0,22.1,1.4
VIQUES,2010,6,8,0,22.2,1.7
VIQUES,2010,6,9,0,20,3.2
VIQUES,2010,6,10,0,20.9,0.8
VIQUES,2010,6,11,0,20.2,-0.1
VIQUES,2010,6,12,0,19.9,0.1
VIQUES,2010,6,13,0,20.9,0.2
VIQUES,2010,6,14,0,21.8,0.1
VIQUES,2010,6,15,0,22.8,2.2
VIQUES,2010,6,16,0,23.1,0.9
VIQUES,2010,6,17,0,22.4,1.6
VIQUES,2010,6,18,0,22,2
VIQUES,2010,6,19,0,20.8,3.7
VIQUES,2010,6,20,8.6,21.9,3.8
VIQUES,2010,6,21,0,20.8,5.2
VIQUES,2010,6,22,0,21,2
VIQUES,2010,6,23,0,20.4,0.7
VIQUES,2010,6,24,0,21.7,3.2
VIQUES,2010,6,25,0,17.9,2.8
VIQUES,2010,6,26,0,19.9,8.5
VIQUES,2010,6,27,0,20.6,1.8
VIQUES,2010,6,28,0,19.8,7.6
VIQUES,2010,6,29,0,20.3,9.1
VIQUES,2010,6,30,0,21.2,8.5
VIQUES,2010,7,1,0,22.6,3.7
VIQUES,2010,7,2,0,22.8,1.8
VIQUES,2010,7,3,6.2,22,1
VIQUES,2010,7,4,20.5,21.6,0.1
VIQUES,2010,7,5,0,23.4,-0.2
VIQUES,2010,7,6,6.8,23.8,0.8
VIQUES,2010,7,7,0,21.9,1
VIQUES,2010,7,8,0,21.6,2.5
VIQUES,2010,7,9,0,21.2,2.8
VIQUES,2010,7,10,0,21,8.8
VIQUES,2010,7,11,0,21.4,5.8
VIQUES,2010,7,12,0,22.9,-0.2
VIQUES,2010,7,13,0,21.3,-2.2
VIQUES,2010,7,14,0,21.4,0.7
VIQUES,2010,7,15,0,22.2,0.1
VIQUES,2010,7,16,0,21.2,-0.4
VIQUES,2010,7,17,0,21.8,7.1
VIQUES,2010,7,18,0,20.5,2
VIQUES,2010,7,19,0,21.8,0.3
VIQUES,2010,7,20,0,21.5,0.3
VIQUES,2010,7,21,0,22.8,0.2
VIQUES,2010,7,22,0,21.8,0.1
VIQUES,2010,7,23,0,22.4,0.1
VIQUES,2010,7,24,0,21.9,0.9
VIQUES,2010,7,25,0,22,2.8
VIQUES,2010,7,26,0,21.8,0.1
VIQUES,2010,7,27,3.8,21.8,1
VIQUES,2010,7,28,0,20.9,1.1
VIQUES,2010,7,29,0.7,21.9,0.1
VIQUES,2010,7,30,0,23.6,0.8
VIQUES,2010,7,31,0,22.7,1
VIQUES,2010,8,1,0,21.5,2
VIQUES,2010,8,2,0,22.4,3.7
VIQUES,2010,8,3,0,21,7.8
VIQUES,2010,8,4,0,21.7,9.8
VIQUES,2010,8,5,0,21.9,2
VIQUES,2010,8,6,0,21.2,-1.8
VIQUES,2010,8,7,0,22.4,-3.2
VIQUES,2010,8,8,0,21.9,-4.2
VIQUES,2010,8,9,0,21.2,-3.4
VIQUES,2010,8,10,0,21.8,0.1
VIQUES,2010,8,11,0,22,1.7
VIQUES,2010,8,12,0,22.9,2.1
VIQUES,2010,8,13,0,19.9,6
VIQUES,2010,8,14,0,21.4,1.2
VIQUES,2010,8,15,0,22.2,1.8
VIQUES,2010,8,16,0,22.8,1.2
VIQUES,2010,8,17,0,22.9,0.8
VIQUES,2010,8,18,0,23.4,0.1
VIQUES,2010,8,19,0,21.7,-2.4
VIQUES,2010,8,20,0,19.7,0.1
VIQUES,2010,8,21,0,20.9,5.8
VIQUES,2010,8,22,0,22.5,0.9
VIQUES,2010,8,23,0,23.8,0.8
VIQUES,2010,8,24,0,23.9,2
VIQUES,2010,8,25,0,23.1,0.8
VIQUES,2010,8,26,0,22.8,2.2
VIQUES,2010,8,27,0,22.6,2.9
VIQUES,2010,8,28,2.6,21.7,4.2
VIQUES,2010,8,29,0,21.8,5.1
VIQUES,2010,8,30,4.2,23.9,9.6
VIQUES,2010,8,31,0,20.3,9.7
VIQUES,2010,9,1,0,16,8.9
VIQUES,2010,9,2,0,18.1,7.5
VIQUES,2010,9,3,0,21.4,8.7
VIQUES,2010,9,4,0,22.9,4.1
VIQUES,2010,9,5,0,21.2,10.6
VIQUES,2010,9,6,0,17.8,10.8
VIQUES,2010,9,7,0,21.7,8.1
VIQUES,2010,9,8,0,21.9,6
VIQUES,2010,9,9,0,21.6,3.9
VIQUES,2010,9,10,0,22.2,3.7
VIQUES,2010,9,11,0,21.9,3.8
VIQUES,2010,9,12,7.8,22.5,6.8
VIQUES,2010,9,13,0,22.8,3.1
VIQUES,2010,9,14,0,22.5,5
VIQUES,2010,9,15,0,20.3,7.9
VIQUES,2010,9,16,0,22.8,3
VIQUES,2010,9,17,0,21.9,1.8
VIQUES,2010,9,18,0,19.9,5
VIQUES,2010,9,19,0,17.8,6.5
VIQUES,2010,9,20,0,22.8,3.1
VIQUES,2010,9,21,0,22.9,3.2
VIQUES,2010,9,22,0,22.8,8
VIQUES,2010,9,23,0,21.8,6.2
VIQUES,2010,9,24,0,21.9,6.9
VIQUES,2010,9,25,0,24.2,10
VIQUES,2010,9,26,0,23.6,5.6
VIQUES,2010,9,27,0,23.8,6.7
VIQUES,2010,9,28,0,26,5
VIQUES,2010,9,29,7.6,22.6,7
VIQUES,2010,9,30,0,21.6,4.8
VIQUES,2010,10,1,0,23.8,4
VIQUES,2010,10,2,0,23.5,3.8
VIQUES,2010,10,3,0,22.6,3.3
VIQUES,2010,10,4,0,23.2,2
VIQUES,2010,10,5,0,23.4,2.2
VIQUES,2010,10,6,0.2,23.6,3.2
VIQUES,2010,10,7,0,22.8,5.2
VIQUES,2010,10,8,8.8,23.6,9.5
VIQUES,2010,10,9,3.6,19.8,9
VIQUES,2010,10,10,0,17,8
VIQUES,2010,10,11,2.3,19.9,8.8
VIQUES,2010,10,12,0,18.8,9.1
VIQUES,2010,10,13,2.2,21.2,8.1
VIQUES,2010,10,14,0,21.6,2.8
VIQUES,2010,10,15,3.1,20,7
VIQUES,2010,10,16,0,21.8,8.1
VIQUES,2010,10,17,0,21.2,7.3
VIQUES,2010,10,18,0,21.4,8.8
VIQUES,2010,10,19,4.5,20.9,4.9
VIQUES,2010,10,20,0,18.8,9
VIQUES,2010,10,21,4.1,22.2,7.3
VIQUES,2010,10,22,0,23.2,6.1
VIQUES,2010,10,23,0,23.6,8.9
VIQUES,2010,10,24,0,21.2,7.8
VIQUES,2010,10,25,0,23.9,5.6
VIQUES,2010,10,26,0,20.9,8.5
VIQUES,2010,10,27,0,24.8,9.8
VIQUES,2010,10,28,0,26.7,5.1
VIQUES,2010,10,29,1.8,24.7,6.5
VIQUES,2010,10,30,2.5,24.6,5.1
VIQUES,2010,10,31,0,21.8,10
VIQUES,2010,11,1,1.5,22.8,9.9
VIQUES,2010,11,2,0,21.7,10.1
VIQUES,2010,11,3,5.4,24.9,3.9
VIQUES,2010,11,4,0,24.7,4.2
VIQUES,2010,11,5,0,23.8,5.8
VIQUES,2010,11,6,0,23.6,8.2
VIQUES,2010,11,7,0,23.2,6.8
VIQUES,2010,11,8,0,25.1,5.2
VIQUES,2010,11,9,0,19.8,6.4
VIQUES,2010,11,10,0,21.3,9.1
VIQUES,2010,11,11,2.4,18.8,9.8
VIQUES,2010,11,12,0,20.8,9.1
VIQUES,2010,11,13,0,20.6,9.1
VIQUES,2010,11,14,0,21.5,9.8
VIQUES,2010,11,15,6.4,21.8,7
VIQUES,2010,11,16,0,24.5,8
VIQUES,2010,11,17,0,20.9,6.8
VIQUES,2010,11,18,0,24.2,6.6
VIQUES,2010,11,19,0,23.8,3.5
VIQUES,2010,11,20,11.8,20.8,5.1
VIQUES,2010,11,21,0,22.5,4.9
VIQUES,2010,11,22,0,20.6,7.1
VIQUES,2010,11,23,0,22.6,3.8
VIQUES,2010,11,24,0,22.5,4.1
VIQUES,2010,11,25,7.9,22.9,9.2
VIQUES,2010,11,26,0,14.9,8.1
VIQUES,2010,11,27,16.5,19.7,9.1
VIQUES,2010,11,28,7.3,20.9,6.5
VIQUES,2010,11,29,0,21.5,8.3
VIQUES,2010,11,30,0,21.6,8.8
VIQUES,2010,12,1,0,20.8,8.5
VIQUES,2010,12,2,8.1,23.4,8.4
VIQUES,2010,12,3,37.9,18.9,9.1
VIQUES,2010,12,4,10.6,17.8,8
VIQUES,2010,12,5,1.5,16.2,7.8
VIQUES,2010,12,6,4.5,20.8,8.1
VIQUES,2010,12,7,3.1,20.8,8.4
VIQUES,2010,12,8,0,17.9,8.2
VIQUES,2010,12,9,0,18.9,9
VIQUES,2010,12,10,0,18.6,9.8
VIQUES,2010,12,11,30.6,17.9,9.9
VIQUES,2010,12,12,0,16.3,8.9
VIQUES,2010,12,13,0,18.4,7.9
VIQUES,2010,12,14,0,16.5,9
VIQUES,2010,12,15,0,22.7,6.8
VIQUES,2010,12,16,0,19.5,7.1
VIQUES,2010,12,17,0,23,7.8
VIQUES,2010,12,18,0,17.2,8.7
VIQUES,2010,12,19,0,18.8,6.7
VIQUES,2010,12,20,0,21.8,8.1
VIQUES,2010,12,21,0,18.8,8
VIQUES,2010,12,22,7.1,20.2,10.8
VIQUES,2010,12,23,3.2,18.8,8.9
VIQUES,2010,12,24,12.4,16.8,9.1
VIQUES,2010,12,25,34.7,18.1,9.4
VIQUES,2010,12,26,6.3,19.8,8.8
VIQUES,2010,12,27,16.5,19,8.5
VIQUES,2010,12,28,12.1,20.4,8.2
VIQUES,2010,12,29,0,18.9,9.9
VIQUES,2010,12,30,0,20.8,8.8
VIQUES,2010,12,31,0,21.6,8.7
VIQUES,2011,1,1,0,21.9,5.8
VIQUES,2011,1,2,0,20.9,6.9
VIQUES,2011,1,3,0,19.3,9.3
VIQUES,2011,1,4,0,18.3,9.8
VIQUES,2011,1,5,0,19.1,8
VIQUES,2011,1,6,17.5,16.8,9.3
VIQUES,2011,1,7,17.3,17.3,9.4
VIQUES,2011,1,8,8.9,17.4,6.8
VIQUES,2011,1,9,0,17.9,9.8
VIQUES,2011,1,10,0,20.4,9.5
VIQUES,2011,1,11,0,20.7,10.8
VIQUES,2011,1,12,0,20.9,6.8
VIQUES,2011,1,13,9.4,16,10.4
VIQUES,2011,1,14,14.8,20.6,8.8
VIQUES,2011,1,15,0,19.8,8.4
VIQUES,2011,1,16,6.7,14.8,8.8
VIQUES,2011,1,17,0,21.9,5
VIQUES,2011,1,18,0,21.6,8.1
VIQUES,2011,1,19,0,19.4,8.8
VIQUES,2011,1,20,0,16.9,7.8
VIQUES,2011,1,21,0,19.4,4.5
VIQUES,2011,1,22,11.6,19.1,8.4
VIQUES,2011,1,23,7.4,14.9,6.8
VIQUES,2011,1,24,13.5,16.8,7.8
VIQUES,2011,1,25,14.3,17.6,8.1
VIQUES,2011,1,26,10.4,17.3,7.1
VIQUES,2011,1,27,13.1,15.2,8
VIQUES,2011,1,28,12.5,16.1,8.7
VIQUES,2011,1,29,32.6,15.2,8.1
VIQUES,2011,1,30,8.4,15.9,5.1
VIQUES,2011,1,31,4.2,14.8,7.9
VIQUES,2011,2,1,0,19.3,8.5
VIQUES,2011,2,2,14.6,20.8,9.8
VIQUES,2011,2,3,6.4,19.2,6.5
VIQUES,2011,2,4,6.9,18.9,8.7
VIQUES,2011,2,5,30.3,19.7,9
VIQUES,2011,2,6,13.2,14.9,8.9
VIQUES,2011,2,7,21.2,18.3,9.9
VIQUES,2011,2,8,4.1,16.4,9.7
VIQUES,2011,2,9,2.1,21,9.9
VIQUES,2011,2,10,26.4,19.7,9.8
VIQUES,2011,2,11,7.9,16.1,9.7
VIQUES,2011,2,12,37.1,15.9,8.2
VIQUES,2011,2,13,0,16.9,6.7
VIQUES,2011,2,14,7.5,11.5,9.8
VIQUES,2011,2,15,2.1,17.4,6.2
VIQUES,2011,2,16,0,18.5,7.2
VIQUES,2011,2,17,23.3,18.1,10.3
VIQUES,2011,2,18,0,15.8,6.7
VIQUES,2011,2,19,9.3,15.6,7.8
VIQUES,2011,2,20,22.4,17.6,8
VIQUES,2011,2,21,10.8,18.7,8.4
VIQUES,2011,2,22,5.6,18.6,8
VIQUES,2011,2,23,13.2,18,8.5
VIQUES,2011,2,24,8.4,17.8,8.9
VIQUES,2011,2,25,6.4,16.3,9.1
VIQUES,2011,2,26,4.5,20.6,9.2
VIQUES,2011,2,27,16.4,20.5,8.3
VIQUES,2011,2,28,0,20,5.7
VIQUES,2011,3,1,0,20.1,6.4
VIQUES,2011,3,2,0,21,8.4
VIQUES,2011,3,3,12.3,18.8,9
VIQUES,2011,3,4,0,17.8,7.3
VIQUES,2011,3,5,0,18.8,8
VIQUES,2011,3,6,4.1,17.9,9.1
VIQUES,2011,3,7,1.7,20.8,7.4
VIQUES,2011,3,8,2,15.7,8.1
VIQUES,2011,3,9,18,16.9,8.6
VIQUES,2011,3,10,5.6,18.3,6.1
VIQUES,2011,3,11,0,19,6.5
VIQUES,2011,3,12,7.3,19.1,10
VIQUES,2011,3,13,9.3,18.8,9.7
VIQUES,2011,3,14,0,17.9,8.6
VIQUES,2011,3,15,0,14.5,8.8
VIQUES,2011,3,16,0,19.8,9.3
VIQUES,2011,3,17,0,17.9,8
VIQUES,2011,3,18,6.8,18.5,8.5
VIQUES,2011,3,19,21.4,14.6,8.7
VIQUES,2011,3,20,0,16.7,7.8
VIQUES,2011,3,21,23,19.5,8
VIQUES,2011,3,22,3.1,17.7,8.8
VIQUES,2011,3,23,0,19.2,9
VIQUES,2011,3,24,6.2,17.9,8.9
VIQUES,2011,3,25,10.4,16.8,9.1
VIQUES,2011,3,26,20.2,20.4,7.1
VIQUES,2011,3,27,8.9,15.4,7.7
VIQUES,2011,3,28,0,17.8,8.6
VIQUES,2011,3,29,14.2,20.6,9.5
VIQUES,2011,3,30,6.2,17.6,7
VIQUES,2011,3,31,0,17.4,8.4
VIQUES,2011,4,1,15.8,20.6,8.7
VIQUES,2011,4,2,0,19.1,7.7
VIQUES,2011,4,3,2.8,18.4,9.3
VIQUES,2011,4,4,13.2,19.9,8.9
VIQUES,2011,4,5,36.4,20.8,5.7
VIQUES,2011,4,6,2.6,14.8,7.9
VIQUES,2011,4,7,8.2,20.7,6.7
VIQUES,2011,4,8,2.1,16.8,9.8
VIQUES,2011,4,9,0,17.5,9.4
VIQUES,2011,4,10,0,19.8,8.8
VIQUES,2011,4,11,0,22,4.2
VIQUES,2011,4,12,0,21.4,7.9
VIQUES,2011,4,13,0,20.6,4.7
VIQUES,2011,4,14,0,19.8,6.7
VIQUES,2011,4,15,0,15.6,5.5
VIQUES,2011,4,16,0,16.8,3.2
VIQUES,2011,4,17,0,20.3,6.5
VIQUES,2011,4,18,0,18.8,7.1
VIQUES,2011,4,19,0,18.3,4.2
VIQUES,2011,4,20,0,21.7,3.2
VIQUES,2011,4,21,0,21.1,2.2
VIQUES,2011,4,22,0,20.9,2.9
VIQUES,2011,4,23,0,18.4,3.5
VIQUES,2011,4,24,0,19.9,3.9
VIQUES,2011,4,25,0,18.9,7
VIQUES,2011,4,26,0,20.1,8
VIQUES,2011,4,27,0,18.8,6.7
VIQUES,2011,4,28,0,21.8,3.5
VIQUES,2011,4,29,0,21.7,2.6
VIQUES,2011,4,30,15.6,19.9,3.6
VIQUES,2011,5,1,7.5,20.1,5.4
VIQUES,2011,5,2,0,18.7,8.6
VIQUES,2011,5,3,0,20.1,5
VIQUES,2011,5,4,0,19.9,2.5
VIQUES,2011,5,5,0,20,2.8
VIQUES,2011,5,6,0,17.2,0.9
VIQUES,2011,5,7,0,19.9,4
VIQUES,2011,5,8,0,17.3,5.7
VIQUES,2011,5,9,0,19.7,3.9
VIQUES,2011,5,10,8.9,17.5,8.9
VIQUES,2011,5,11,0,21.9,5
VIQUES,2011,5,12,0,17.5,4.1
VIQUES,2011,5,13,0,23.2,5.7
VIQUES,2011,5,14,0,22.9,4.2
VIQUES,2011,5,15,0,22.7,7.1
VIQUES,2011,5,16,0,20.8,6.9
VIQUES,2011,5,17,0,21.4,4.1
VIQUES,2011,5,18,0,20.9,-1.2
VIQUES,2011,5,19,0,21.8,2.9
VIQUES,2011,5,20,0,21.3,2.2
VIQUES,2011,5,21,0,20.1,1.8
VIQUES,2011,5,22,0.9,18.9,4.2
VIQUES,2011,5,23,0,21.2,7.1
VIQUES,2011,5,24,0,19.8,7.8
VIQUES,2011,5,25,0,20.7,6.1
VIQUES,2011,5,26,0,20.9,4.1
VIQUES,2011,5,27,0,20.2,2
VIQUES,2011,5,28,0,19.9,3.2
VIQUES,2011,5,29,0,20.1,2.5
VIQUES,2011,5,30,0,21.4,3.9
VIQUES,2011,5,31,0,22.6,4.6
VIQUES,2011,6,1,0,21.3,-3.4
VIQUES,2011,6,2,0,22.8,-3.1
VIQUES,2011,6,3,0,22.6,-1.8
VIQUES,2011,6,4,0,20.6,0.8
VIQUES,2011,6,5,0,21,4.7
VIQUES,2011,6,6,0,22.9,1.7
VIQUES,2011,6,7,0,21.8,1.1
VIQUES,2011,6,8,0,22.8,2.5
VIQUES,2011,6,9,0,22.9,0.7
VIQUES,2011,6,10,0,21.9,-1.9
VIQUES,2011,6,11,0,20.4,1.8
VIQUES,2011,6,12,0,21.7,0.9
VIQUES,2011,6,13,0,20.7,2.9
VIQUES,2011,6,14,0,20.5,5.2
VIQUES,2011,6,15,0,21.9,4.2
VIQUES,2011,6,16,0,19.9,1.9
VIQUES,2011,6,17,0,21.6,5.8
VIQUES,2011,6,18,0,21.7,5.1
VIQUES,2011,6,19,0,22.4,3.1
VIQUES,2011,6,20,0,20.9,5.2
VIQUES,2011,6,21,0,20,4.9
VIQUES,2011,6,22,0,20.4,1.2
VIQUES,2011,6,23,0,19.3,2.1
VIQUES,2011,6,24,0,19.6,1.1
VIQUES,2011,6,25,0,20.4,4.8
VIQUES,2011,6,26,0,20.9,2.1
VIQUES,2011,6,27,0,20.9,0.9
VIQUES,2011,6,28,0,21.3,0.9
VIQUES,2011,6,29,0,22.4,0.8
VIQUES,2011,6,30,0,20,0.7
VIQUES,2011,7,1,0,20,0.4
VIQUES,2011,7,2,6,17.7,7.8
VIQUES,2011,7,3,2.4,15.1,7.5
VIQUES,2011,7,4,0,19.1,7
VIQUES,2011,7,5,0,18.8,4
VIQUES,2011,7,6,0,19.5,3.1
VIQUES,2011,7,7,0,18.9,-0.8
VIQUES,2011,7,8,0,19.9,4.7
VIQUES,2011,7,9,0,20.8,0.7
VIQUES,2011,7,10,0,19.7,0.1
VIQUES,2011,7,11,0,19.9,3.7
VIQUES,2011,7,12,0,21.9,1.8
VIQUES,2011,7,13,0,21.6,1.6
VIQUES,2011,7,14,0,22.4,1.1
VIQUES,2011,7,15,0,21.8,1
VIQUES,2011,7,16,0,20.1,2.8
VIQUES,2011,7,17,0,21.6,2.1
VIQUES,2011,7,18,0,21.1,1.6
VIQUES,2011,7,19,0,20.6,2.8
VIQUES,2011,7,20,0,20.9,2
VIQUES,2011,7,21,0,20.6,3.4
VIQUES,2011,7,22,0,19.9,1.5
VIQUES,2011,7,23,0,19.4,0.1
VIQUES,2011,7,24,0,20.8,-0.8
VIQUES,2011,7,25,0,21.9,-0.9
VIQUES,2011,7,26,0,20.3,-2
VIQUES,2011,7,27,0,19.8,-2.8
VIQUES,2011,7,28,0,21.9,-1.8
VIQUES,2011,7,29,0,21.4,-1.7
VIQUES,2011,7,30,0,21.9,-2
VIQUES,2011,7,31,0,21.8,1.2
VIQUES,2011,8,1,0,22.3,-0.2
VIQUES,2011,8,2,0,22.8,0.9
VIQUES,2011,8,3,0,22.2,1.9
VIQUES,2011,8,4,3.5,17.8,10.1
VIQUES,2011,8,5,0,20.7,4.1
VIQUES,2011,8,6,0,21.8,1.1
VIQUES,2011,8,7,0,21.9,0.7
VIQUES,2011,8,8,0,21.3,0.8
VIQUES,2011,8,9,0,21.1,1.4
VIQUES,2011,8,10,0,19.9,0.3
VIQUES,2011,8,11,0,19,0.1
VIQUES,2011,8,12,0,19.8,-0.2
VIQUES,2011,8,13,0,20.4,-0.3
VIQUES,2011,8,14,0,19.9,1.1
VIQUES,2011,8,15,0,19.9,3.7
VIQUES,2011,8,16,0,21,1.2
VIQUES,2011,8,17,0,21.5,2.2
VIQUES,2011,8,18,0,22.2,2
VIQUES,2011,8,19,0,23.5,2.5
VIQUES,2011,8,20,0,22,2.7
VIQUES,2011,8,21,0,22.4,3.8
VIQUES,2011,8,22,7.5,22.8,2.3
VIQUES,2011,8,23,0,20.4,3.8
VIQUES,2011,8,24,0,21.8,8.5
